display_Var, _gini_, _infoval_, procLevel, _role_, _new_Role_, importGroup, LEVEL, _label_, infovalOrder, 
alumni, 22.403, 0.225, INTERVAL, Input, Default, , INTERVAL, , 1, 
IF_SCORE, 22.132, 0.203, INTERVAL, Input, Default, , INTERVAL, , 2, 
CPF_SCORE, 18.944, 0.159, INTERVAL, Input, Default, , INTERVAL, , 3, 
Country, 15.969, 0.141, NOMINAL, Input, Default, , NOMINAL, , 4, 
award, 14.066, 0.129, INTERVAL, Input, Default, , INTERVAL, , 5, 
ns, 17.684, 0.126, INTERVAL, Input, Default, , INTERVAL, , 6, 
IS_SCORE, 17.772, 0.125, INTERVAL, Input, Default, , INTERVAL, , 7, 
hici, 16.929, 0.113, INTERVAL, Input, Default, , INTERVAL, , 8, 
AR_SCORE, 15.096, 0.106, INTERVAL, Input, Default, , INTERVAL, , 9, 
FS_SCORE, 15.951, 0.103, INTERVAL, Input, Default, , INTERVAL, , 10, 
pcp, 15.884, 0.101, INTERVAL, Input, Default, , INTERVAL, , 11, 
ER_SCORE, 15.376, 0.079, INTERVAL, Rejected, Default, , INTERVAL, , 12, 
pub, 9.594, 0.074, INTERVAL, Rejected, Default, , INTERVAL, , 13, 
IF_GB, 4.942, 0.016, BINARY, Rejected, Default, , BINARY, , 14, 
